Date,County,Crop,Yield_Tons,Rainfall_mm,Temperature_C,Price_KSH_per_kg,Area_Planted_Hectares,Fertilizer_Used_kg
2019-02-28,Kiambu,Rice,6419.1,29.3,26.1,70.1,1709.3,1347.5
2019-02-28,Kiambu,Beans,1706.3,5.9,28.1,76.0,3229.1,1797.8
2019-02-28,Kiambu,Potatoes,3798.4,56.8,16.3,63.9,4745.7,1143.5
2019-02-28,Machakos,Maize,3432.4,21.9,19.2,102.0,1024.3,1728.4
2019-02-28,Machakos,Wheat,2328.0,44.3,24.2,89.4,2488.8,934.2
2019-02-28,Machakos,Rice,5699.0,23.9,23.8,77.8,4532.3,1650.0
2019-02-28,Machakos,Beans,2498.7,59.5,23.3,75.1,2236.6,1164.4
2019-02-28,Machakos,Potatoes,1707.8,22.1,26.5,54.4,2846.9,1744.7
2019-03-31,Nakuru,Maize,12078.3,90.0,22.0,37.4,4488.7,1048.1
2019-03-31,Nakuru,Wheat,9725.9,96.1,24.3,26.0,1691.4,1908.5
2019-03-31,Nakuru,Rice,5683.6,170.1,25.1,17.3,3943.3,1355.9
2019-03-31,Nakuru,Beans,9073.7,101.9,19.6,17.8,1307.2,1787.9
2019-03-31,Nakuru,Potatoes,7475.0,87.2,18.6,31.5,3316.1,1732.9
2019-03-31,Uasin Gishu,Maize,9504.4,107.3,20.9,24.3,1673.5,1251.9
2019-03-31,Uasin Gishu,Wheat,5044.2,156.6,23.5,10.0,4822.2,855.1
2019-03-31,Uasin Gishu,Rice,8611.7,50.4,26.1,33.9,1741.2,1170.5
2019-03-31,Uasin Gishu,Beans,7531.4,120.4,16.7,27.0,1619.7,1344.2
2019-03-31,Uasin Gishu,Potatoes,10413.9,182.3,22.2,36.0,3108.7,874.7
2019-03-31,Trans Nzoia,Maize,5879.6,123.6,23.3,22.1,2389.2,1411.4
2019-03-31,Trans Nzoia,Wheat,8911.7,105.5,21.8,29.7,2426.3,1196.5
2019-03-31,Trans Nzoia,Rice,4154.7,125.8,19.5,32.6,1911.1,815.9
2019-03-31,Trans Nzoia,Beans,8860.9,82.7,17.8,32.5,2751.5,555.9
2019-03-31,Trans Nzoia,Potatoes,9757.2,108.8,20.2,21.6,3256.8,1448.9
2019-03-31,Meru,Maize,9109.4,139.3,21.2,18.6,2894.5,1956.8
2019-03-31,Meru,Wheat,7208.3,166.6,22.3,40.8,2328.3,1813.6
2019-03-31,Meru,Rice,10343.0,173.9,20.6,22.3,1973.4,1548.0
2019-03-31,Meru,Beans,9495.3,100.8,25.5,27.3,2584.1,692.8
2019-03-31,Meru,Potatoes,4211.7,157.0,17.6,26.7,2027.1,1293.6
2019-03-31,Kiambu,Maize,8701.6,107.5,21.8,35.8,2117.0,1611.6
2019-03-31,Kiambu,Wheat,11792.8,183.5,19.2,34.6,3212.5,1846.9
2019-03-31,Kiambu,Rice,8082.4,106.0,18.3,32.8,4282.1,1628.2
2019-03-31,Kiambu,Beans,10858.5,107.6,17.3,35.8,4677.3,1889.0
2019-03-31,Kiambu,Potatoes,5027.1,100.0,21.3,28.0,2190.0,787.2
2019-03-31,Machakos,Maize,4267.8,169.7,26.5,44.6,2230.2,1580.9
2019-03-31,Machakos,Wheat,8177.2,107.4,24.3,23.7,1793.8,1736.6
2019-03-31,Machakos,Rice,4123.9,78.7,27.8,21.5,3054.9,1680.3
2019-03-31,Machakos,Beans,5204.8,191.7,21.8,18.1,2895.3,1544.3
2019-03-31,Machakos,Potatoes,8515.0,121.9,16.9,43.1,1475.4,633.6
2019-04-30,Nakuru,Maize,3361.8,86.5,15.4,14.2,3666.7,963.0
2019-04-30,Nakuru,Wheat,9149.9,121.2,20.8,22.2,2654.4,868.9
2019-04-30,Nakuru,Rice,11910.5,129.0,19.4,38.3,4179.0,1659.7
2019-04-30,Nakuru,Beans,9356.0,127.1,18.3,34.0,1892.2,1948.2
2019-04-30,Nakuru,Potatoes,6548.6,131.9,19.9,32.2,2372.0,1603.9
2019-04-30,Uasin Gishu,Maize,11667.0,63.3,19.6,29.0,4355.9,1293.5
2019-04-30,Uasin Gishu,Wheat,6852.8,135.7,25.6,19.1,1356.1,656.1
2019-04-30,Uasin Gishu,Rice,6919.0,144.7,22.7,22.2,2511.1,1662.9
2019-04-30,Uasin Gishu,Beans,7913.0,109.7,19.5,34.5,4867.2,734.5
2019-04-30,Uasin Gishu,Potatoes,8760.8,105.4,15.5,40.2,2881.6,1913.8
2019-04-30,Trans Nzoia,Maize,8037.4,92.0,25.7,38.4,1746.4,769.1
2019-04-30,Trans Nzoia,Wheat,6962.8,83.0,22.9,35.1,4734.2,1293.1
2019-04-30,Trans Nzoia,Rice,11315.7,138.8,21.6,39.0,1383.9,1812.7
2019-04-30,Trans Nzoia,Beans,6053.8,107.6,23.0,25.9,4499.5,1025.6
2019-04-30,Trans Nzoia,Potatoes,9017.9,137.7,22.6,40.8,4756.2,1148.3
2019-04-30,Meru,Maize,8468.1,93.7,25.6,28.0,1444.7,1713.5
2019-04-30,Meru,Wheat,3777.2,62.2,26.6,33.0,2667.1,1501.9
2019-04-30,Meru,Rice,3944.7,96.1,14.3,16.2,3726.3,818.8
2019-04-30,Meru,Beans,5023.5,153.2,18.0,39.2,4297.6,1507.3
2019-04-30,Meru,Potatoes,8203.2,120.7,23.9,36.1,2912.1,1818.2
2019-04-30,Kiambu,Maize,10506.9,114.6,21.6,13.0,3276.5,619.9
2019-04-30,Kiambu,Wheat,6792.0,171.1,23.5,29.6,3645.3,925.7
2019-04-30,Kiambu,Rice,3396.9,92.5,24.0,27.1,4974.5,1758.3
2019-04-30,Kiambu,Beans,11591.2,158.3,23.1,32.4,3198.9,633.9
2019-04-30,Kiambu,Potatoes,5720.6,116.9,21.3,32.1,4913.1,838.4
2019-04-30,Machakos,Maize,9122.8,179.4,26.8,43.2,2418.4,1951.5
2019-04-30,Machakos,Wheat,6780.0,172.4,21.3,41.4,3526.3,1179.3
2019-04-30,Machakos,Rice,4203.4,98.6,24.5,19.0,2809.6,1815.2
2019-04-30,Machakos,Beans,8221.0,133.4,21.4,32.9,3670.1,1957.1
2019-04-30,Machakos,Potatoes,5058.8,154.2,21.1,33.4,2668.1,1891.8
2019-05-31,Nakuru,Maize,6464.3,133.4,18.7,23.7,3435.4,1065.1
2019-05-31,Nakuru,Wheat,8161.7,141.5,18.1,34.8,1851.9,714.8
2019-05-31,Nakuru,Rice,10731.3,109.7,23.9,39.0,3315.0,1861.6
2019-05-31,Nakuru,Beans,11337.2,129.2,23.9,15.0,4181.9,1067.7
2019-05-31,Nakuru,Potatoes,5163.7,101.8,23.0,29.7,3109.1,1751.2
2019-05-31,Uasin Gishu,Maize,3383.8,75.1,23.7,28.7,1509.7,1549.7
2019-05-31,Uasin Gishu,Wheat,8672.0,87.3,23.5,22.8,3216.7,525.4
2019-05-31,Uasin Gishu,Rice,4339.2,104.8,20.5,28.6,3790.4,837.6
2019-05-31,Uasin Gishu,Beans,10606.2,95.1,22.9,43.9,4891.7,505.8
2019-05-31,Uasin Gishu,Potatoes,7914.4,148.4,17.4,30.2,4397.2,716.9
2019-05-31,Trans Nzoia,Maize,3619.7,162.3,21.0,41.4,1596.5,1199.5
2019-05-31,Trans Nzoia,Wheat,11726.3,160.6,22.3,27.2,3738.6,1459.5
2019-05-31,Trans Nzoia,Rice,7816.1,151.8,25.6,32.9,2375.7,1075.0
2019-05-31,Trans Nzoia,Beans,8106.5,137.6,22.1,10.1,1738.2,1962.2
2019-05-31,Trans Nzoia,Potatoes,9592.9,93.9,20.3,14.3,2816.4,1511.7
2019-05-31,Meru,Maize,8441.5,88.0,18.3,30.3,1946.4,669.5
2019-05-31,Meru,Wheat,4897.1,175.8,21.2,37.5,3527.2,1859.9
2019-05-31,Meru,Rice,11411.6,93.0,22.5,32.8,4986.2,1433.8
2019-05-31,Meru,Beans,7290.7,107.0,23.8,40.3,3781.9,1754.7
2019-05-31,Meru,Potatoes,5774.0,153.7,19.6,17.5,4292.4,1598.0
2019-05-31,Kiambu,Maize,6536.7,108.1,21.0,29.8,4400.7,1954.2
2019-05-31,Kiambu,Wheat,5037.2,101.8,26.6,13.7,4254.2,1488.5
2019-05-31,Kiambu,Rice,4484.2,138.1,17.1,10.0,2801.2,1155.4
2019-05-31,Kiambu,Beans,6482.5,128.0,18.7,14.1,1014.9,1474.2
2019-05-31,Kiambu,Potatoes,4774.8,148.8,24.5,22.4,4240.1,1525.7
2019-05-31,Machakos,Maize,10423.8,115.4,22.1,29.9,1380.4,512.5
2019-05-31,Machakos,Wheat,5021.7,65.3,19.1,34.8,1731.8,717.7
2019-05-31,Machakos,Rice,5281.6,104.8,22.6,10.0,4729.2,661.1
2019-05-31,Machakos,Beans,6544.2,94.0,20.8,22.0,4851.0,563.8
2019-05-31,Machakos,Potatoes,7459.9,116.4,20.1,22.6,4736.4,964.8
2019-06-30,Nakuru,Maize,4465.0,44.5,19.3,56.6,2730.5,961.3
2019-06-30,Nakuru,Wheat,1613.4,11.1,21.0,88.8,1661.0,982.1
2019-06-30,Nakuru,Rice,2179.6,45.2,20.3,37.7,2078.8,1373.5
2019-06-30,Nakuru,Beans,4689.2,55.7,22.2,55.7,1651.3,1215.7
2019-06-30,Nakuru,Potatoes,3690.3,51.4,24.5,57.3,2110.8,955.9
2019-06-30,Uasin Gishu,Maize,5437.6,46.7,20.2,90.0,4366.8,1800.9
2019-06-30,Uasin Gishu,Wheat,4335.1,36.8,21.1,87.7,4642.1,1268.4
2019-06-30,Uasin Gishu,Rice,5941.3,46.2,19.3,67.2,3139.6,1051.6
2019-06-30,Uasin Gishu,Beans,5185.8,44.7,22.2,43.0,4280.5,709.4
2019-06-30,Uasin Gishu,Potatoes,6172.6,34.7,21.5,43.9,2637.4,751.8
2019-06-30,Trans Nzoia,Maize,3413.2,30.1,16.3,100.2,2376.6,1133.5
2019-06-30,Trans Nzoia,Wheat,3638.6,23.4,17.0,78.7,4791.6,1817.1
2019-06-30,Trans Nzoia,Rice,3038.3,63.7,23.7,41.7,1543.3,1951.5
2019-06-30,Trans Nzoia,Beans,1371.1,67.8,24.4,65.8,2852.6,1076.4
2019-06-30,Trans Nzoia,Potatoes,5128.9,53.1,19.1,63.5,3566.2,899.2
2019-06-30,Meru,Maize,5662.3,37.8,27.2,80.2,1055.5,565.6
2019-06-30,Meru,Wheat,6456.6,21.8,23.0,67.4,3151.1,1847.0
2019-06-30,Meru,Rice,5083.5,11.4,26.0,55.4,4716.4,878.0
2019-06-30,Meru,Beans,4913.7,26.5,15.5,75.4,4363.9,1353.0
2019-06-30,Meru,Potatoes,2729.5,48.4,23.0,81.4,1053.0,1493.3
2019-06-30,Kiambu,Maize,1792.2,27.1,22.7,89.1,3227.0,694.0
2019-06-30,Kiambu,Wheat,5231.8,62.6,23.0,63.4,1157.2,504.9
2019-06-30,Kiambu,Rice,5351.9,54.6,27.0,95.1,1577.2,1290.6
2019-06-30,Kiambu,Beans,1960.1,42.6,16.6,92.1,4525.4,1938.5
2019-06-30,Kiambu,Potatoes,3623.0,30.9,20.5,59.0,2229.1,1524.2
2019-06-30,Machakos,Maize,2117.9,70.8,24.0,64.1,2171.5,559.6
2019-06-30,Machakos,Wheat,1996.5,34.1,16.4,69.5,1334.5,859.8
2019-06-30,Machakos,Rice,3065.9,37.5,24.1,85.8,4514.1,517.4
2019-06-30,Machakos,Beans,2298.7,58.0,20.6,69.3,4138.4,1920.7
2019-06-30,Machakos,Potatoes,2444.4,44.1,22.7,102.2,3015.6,1250.3
2019-07-31,Nakuru,Maize,1665.0,35.1,21.8,58.1,2910.0,915.9
2019-07-31,Nakuru,Wheat,3064.4,34.9,22.2,51.9,3962.7,530.5
2019-07-31,Nakuru,Rice,5730.0,42.1,26.7,98.4,3866.2,1478.9
2019-07-31,Nakuru,Beans,6140.8,76.2,21.7,70.1,3388.1,881.2
2019-07-31,Nakuru,Potatoes,4174.6,46.7,25.1,84.7,4669.4,1306.7
2019-07-31,Uasin Gishu,Maize,4726.2,52.1,26.7,50.1,1492.7,1087.7
2019-07-31,Uasin Gishu,Wheat,4778.5,27.3,20.2,77.6,1899.9,1290.4
2019-07-31,Uasin Gishu,Rice,4219.5,36.0,18.7,45.6,2211.0,973.1
2019-07-31,Uasin Gishu,Beans,6395.9,33.8,22.6,68.5,1546.7,1973.0
2019-07-31,Uasin Gishu,Potatoes,2669.2,17.9,17.9,44.1,2072.2,999.7
2019-07-31,Trans Nzoia,Maize,2907.5,50.2,20.6,69.5,3201.2,1742.0
2019-07-31,Trans Nzoia,Wheat,6532.5,50.5,21.3,77.4,3065.7,1643.1
2019-07-31,Trans Nzoia,Rice,1933.6,62.9,17.0,74.9,4757.9,1334.0
2019-07-31,Trans Nzoia,Beans,5871.7,10.0,27.8,87.2,1361.3,1446.7
2019-07-31,Trans Nzoia,Potatoes,6646.9,69.4,20.7,42.1,4050.7,507.0
2019-07-31,Meru,Maize,4159.5,29.7,26.2,77.6,2271.6,885.0
2019-07-31,Meru,Wheat,5117.3,53.7,21.2,87.7,2062.6,965.5
2019-07-31,Meru,Rice,2874.2,46.2,22.0,81.5,1834.8,1389.8
2019-07-31,Meru,Beans,5643.9,25.5,20.3,98.6,3590.3,534.8
2019-07-31,Meru,Potatoes,3036.4,33.9,19.9,77.7,4705.8,1006.6
2019-07-31,Kiambu,Maize,2832.3,41.0,17.1,53.7,2010.3,741.3
2019-07-31,Kiambu,Wheat,6289.0,55.3,22.5,82.9,4568.5,1289.2
2019-07-31,Kiambu,Rice,2285.4,22.4,18.9,64.7,4143.0,1971.1
2019-07-31,Kiambu,Beans,1846.4,16.0,19.7,81.9,2956.2,1547.3
2019-07-31,Kiambu,Potatoes,4901.3,43.5,26.5,47.0,3710.4,638.9
2019-07-31,Machakos,Maize,6021.1,36.7,20.2,85.6,2372.0,580.7
2019-07-31,Machakos,Wheat,1641.0,49.1,27.1,55.4,4931.3,1073.5
2019-07-31,Machakos,Rice,2956.0,39.1,26.5,69.0,4769.6,1218.8
2019-07-31,Machakos,Beans,1314.7,53.8,21.8,53.9,2840.8,1294.9
2019-07-31,Machakos,Potatoes,3743.0,73.7,18.2,55.4,3750.6,1048.3
2019-08-31,Nakuru,Maize,2624.6,26.1,23.0,55.6,1555.2,1273.4
2019-08-31,Nakuru,Wheat,2658.1,49.2,19.4,89.4,4203.9,579.1
2019-08-31,Nakuru,Rice,6014.3,53.7,21.0,40.3,1160.6,1558.7
2019-08-31,Nakuru,Beans,4557.0,33.8,24.1,38.4,2595.4,1652.3
2019-08-31,Nakuru,Potatoes,3691.7,58.5,23.2,45.3,1896.5,810.7
2019-08-31,Uasin Gishu,Maize,2504.8,63.1,16.3,58.4,2328.0,818.9
2019-08-31,Uasin Gishu,Wheat,5109.5,34.1,16.9,67.7,2845.1,1605.3
2019-08-31,Uasin Gishu,Rice,2347.1,76.9,27.9,55.2,3208.1,624.8
2019-08-31,Uasin Gishu,Beans,4179.0,40.4,18.4,69.5,4093.7,982.6
2019-08-31,Uasin Gishu,Potatoes,6141.9,9.6,19.4,83.8,4088.1,1401.6
2019-08-31,Trans Nzoia,Maize,3330.0,34.8,17.6,40.9,3858.3,1318.1
2019-08-31,Trans Nzoia,Wheat,3792.6,25.5,22.7,88.1,4231.1,869.9
2019-08-31,Trans Nzoia,Rice,1785.3,35.4,24.7,55.3,2458.0,1337.8
2019-08-31,Trans Nzoia,Beans,4186.1,44.3,14.4,80.3,3967.3,525.1
2019-08-31,Trans Nzoia,Potatoes,3286.4,55.5,21.8,93.7,3281.7,1228.4
2019-08-31,Meru,Maize,1990.2,33.1,17.9,40.3,1282.8,1838.8
2019-08-31,Meru,Wheat,2600.5,42.6,20.6,84.7,3774.3,1617.6
2019-08-31,Meru,Rice,1668.8,44.6,20.6,74.8,4966.5,1367.4
2019-08-31,Meru,Beans,3285.0,43.1,24.0,56.8,4054.7,1208.8
2019-08-31,Meru,Potatoes,5337.4,39.6,19.9,81.1,4896.9,1486.0
2019-08-31,Kiambu,Maize,3300.0,12.8,23.1,49.1,1457.7,1742.0
2019-08-31,Kiambu,Wheat,5376.8,33.3,24.5,61.9,2821.4,908.6
2019-08-31,Kiambu,Rice,3092.7,28.2,20.5,61.2,1514.4,838.7
2019-08-31,Kiambu,Beans,4507.6,28.1,23.7,104.5,3582.9,1812.7
2019-08-31,Kiambu,Potatoes,3932.9,31.2,27.5,76.5,4310.9,1629.2
2019-08-31,Machakos,Maize,6038.8,50.7,21.0,53.4,3529.1,1362.0
2019-08-31,Machakos,Wheat,3372.3,22.7,22.3,68.8,3184.7,2000.0
2019-08-31,Machakos,Rice,4867.0,42.8,19.6,78.1,4837.4,943.5
2019-08-31,Machakos,Beans,5312.4,28.0,22.1,55.4,3670.4,886.1
2019-08-31,Machakos,Potatoes,4947.8,62.5,25.3,58.8,3572.9,752.3
2019-09-30,Nakuru,Maize,4876.6,46.7,23.3,76.6,3537.7,1431.0
2019-09-30,Nakuru,Wheat,2737.1,13.9,24.0,74.6,2628.6,1987.1
2019-09-30,Nakuru,Rice,4838.1,13.4,25.6,92.0,4531.9,856.8
2019-09-30,Nakuru,Beans,6319.8,39.1,24.2,90.7,2965.2,1781.7
2019-09-30,Nakuru,Potatoes,3933.7,22.7,26.8,81.6,4224.9,696.3
2019-09-30,Uasin Gishu,Maize,4543.8,42.5,24.5,80.7,3784.8,1040.5
2019-09-30,Uasin Gishu,Wheat,3760.9,31.5,23.5,57.0,4645.8,1870.6
2019-09-30,Uasin Gishu,Rice,2829.0,62.9,21.2,31.2,2904.0,631.0
2019-09-30,Uasin Gishu,Beans,6015.8,42.5,22.3,57.7,4986.4,1714.4
2019-09-30,Uasin Gishu,Potatoes,3502.5,22.7,28.2,95.3,4497.6,573.3
2019-09-30,Trans Nzoia,Maize,3546.9,57.6,20.7,46.1,1219.9,1369.3
2019-09-30,Trans Nzoia,Wheat,2785.6,46.0,20.3,91.0,1647.1,1454.4
2019-09-30,Trans Nzoia,Rice,4644.4,46.4,22.0,40.7,1919.1,1394.7
2019-09-30,Trans Nzoia,Beans,2222.7,45.9,24.4,87.8,3524.6,1393.6
2019-09-30,Trans Nzoia,Potatoes,3049.9,56.1,18.4,61.4,2692.1,1027.9
2019-09-30,Meru,Maize,1487.3,40.7,22.9,95.1,3635.1,1463.2
2019-09-30,Meru,Wheat,2091.0,34.5,26.2,82.2,1454.0,1026.6
2019-09-30,Meru,Rice,6033.2,17.8,16.6,86.0,4777.1,856.4
2019-09-30,Meru,Beans,5427.1,58.9,16.7,71.8,1542.1,1381.4
2019-09-30,Meru,Potatoes,1971.3,29.9,22.5,38.5,2589.8,540.7
2019-09-30,Kiambu,Maize,5415.3,40.9,18.0,61.1,2569.9,1512.2
2019-09-30,Kiambu,Wheat,5496.9,22.1,25.4,48.5,3722.0,1034.5
2019-09-30,Kiambu,Rice,1896.5,12.4,22.5,94.6,3432.8,1356.8
2019-09-30,Kiambu,Beans,5350.5,38.2,18.4,49.5,2244.4,1479.3
2019-09-30,Kiambu,Potatoes,4114.5,32.2,24.0,69.6,1101.5,1366.8
2019-09-30,Machakos,Maize,3629.5,37.1,19.2,90.2,4144.6,1573.3
2019-09-30,Machakos,Wheat,5178.5,53.1,24.7,78.8,3840.7,531.3
2019-09-30,Machakos,Rice,3492.9,35.4,20.4,64.1,1246.9,914.0
2019-09-30,Machakos,Beans,5204.3,54.4,18.3,56.0,2417.4,961.8
2019-09-30,Machakos,Potatoes,2702.0,30.4,24.2,58.1,2797.4,606.9
2019-10-31,Nakuru,Maize,6061.4,43.1,25.0,39.1,4705.9,830.1
2019-10-31,Nakuru,Wheat,3308.5,64.2,21.5,52.9,1578.7,658.1
2019-10-31,Nakuru,Rice,3875.2,76.0,29.4,33.5,1568.2,1885.9
2019-10-31,Nakuru,Beans,7271.7,87.6,21.6,48.0,3819.5,1109.3
2019-10-31,Nakuru,Potatoes,4956.2,79.7,23.0,36.8,2199.2,1427.7
2019-10-31,Uasin Gishu,Maize,2418.8,99.8,20.9,29.1,1569.5,1662.2
2019-10-31,Uasin Gishu,Wheat,4029.6,53.9,17.4,59.1,2957.7,1355.6
2019-10-31,Uasin Gishu,Rice,8430.4,39.6,25.4,55.5,1206.0,695.9
2019-10-31,Uasin Gishu,Beans,7826.8,105.8,21.7,64.4,4668.4,1526.3
2019-10-31,Uasin Gishu,Potatoes,5934.3,59.2,29.0,56.2,2051.1,588.9
2019-10-31,Trans Nzoia,Maize,4227.2,66.2,25.7,37.3,1193.1,1304.3
2019-10-31,Trans Nzoia,Wheat,5377.4,111.4,21.0,51.3,2149.2,986.1
2019-10-31,Trans Nzoia,Rice,4779.3,77.9,22.0,35.7,1892.6,1589.3
2019-10-31,Trans Nzoia,Beans,3789.6,55.9,24.3,35.1,1032.5,1970.0
2019-10-31,Trans Nzoia,Potatoes,3592.2,62.1,22.2,66.3,2611.9,1386.8
2019-10-31,Meru,Maize,2729.2,63.6,24.8,61.0,3492.0,1037.4
2019-10-31,Meru,Wheat,4336.1,94.4,21.0,48.9,3205.3,1331.3
2019-10-31,Meru,Rice,2996.5,102.5,24.2,37.9,3377.3,859.4
2019-10-31,Meru,Beans,3329.4,105.1,19.5,54.0,4233.4,804.0
2019-10-31,Meru,Potatoes,8505.1,70.4,17.7,45.3,1881.7,1064.5
2019-10-31,Kiambu,Maize,2466.4,57.0,25.2,60.1,3700.6,741.0
2019-10-31,Kiambu,Wheat,7573.6,85.3,22.5,63.0,1889.4,693.3
2019-10-31,Kiambu,Rice,7564.9,79.1,20.9,42.9,3736.5,1747.1
2019-10-31,Kiambu,Beans,7202.5,79.5,23.3,53.2,4050.0,1817.8
2019-10-31,Kiambu,Potatoes,5238.1,65.9,28.3,35.0,3180.5,1573.4
2019-10-31,Machakos,Maize,5690.3,76.3,18.9,53.2,3571.5,1489.3
2019-10-31,Machakos,Wheat,5880.0,63.9,20.0,40.2,3616.4,920.5
2019-10-31,Machakos,Rice,5388.0,37.1,15.5,50.3,3563.3,604.2
2019-10-31,Machakos,Beans,8096.1,109.8,23.1,57.6,1748.6,1227.4
2019-10-31,Machakos,Potatoes,3488.7,89.3,20.5,30.1,2740.1,1006.5
2019-11-30,Nakuru,Maize,2348.0,98.9,18.7,33.1,1020.8,1053.7
2019-11-30,Nakuru,Wheat,8127.8,54.1,19.5,45.9,2765.1,655.1
2019-11-30,Nakuru,Rice,6060.8,95.7,18.0,60.8,4176.2,908.3
2019-11-30,Nakuru,Beans,6755.9,57.6,22.4,39.8,4982.8,1206.8
2019-11-30,Nakuru,Potatoes,6762.2,78.3,23.0,66.2,3299.8,1024.0
2019-11-30,Uasin Gishu,Maize,3516.6,82.4,23.0,56.2,3721.2,1014.4
2019-11-30,Uasin Gishu,Wheat,8886.9,52.7,20.0,52.0,1311.4,681.6
2019-11-30,Uasin Gishu,Rice,7870.0,85.4,20.0,32.1,4318.8,1156.7
2019-11-30,Uasin Gishu,Beans,2758.5,71.3,23.0,27.3,4036.2,1696.7
